timestamp,symbol,action,quantity,price,commission,pnl,portfolio_value,cash
2025-09-20T17:26:46.308855,RELIANCE,BUY,1,2439.74,20.0,0.0,499971.79000000004,497540.26
2025-09-20T17:26:46.315354,RELIANCE,SELL,-1,2432.73,20.0,0.0,499952.99,499952.99
2025-09-20T17:26:46.317396,RELIANCE,TRADE_CLOSED,0,2439.74,40.0,-47.00999999999976,499952.99,499952.99
2025-09-20T17:26:46.323242,RELIANCE,BUY,1,2420.1,20.0,0.0,499942.08,497512.89
2025-09-20T17:26:46.326034,RELIANCE,SELL,-1,2429.98,20.0,0.0,499922.87,499922.87
2025-09-20T17:26:46.327045,RELIANCE,TRADE_CLOSED,0,2420.1,40.0,-30.11999999999989,499922.87,499922.87
2025-09-20T17:26:46.334323,RELIANCE,BUY,1,2420.62,20.0,0.0,499908.8,497482.25
2025-09-20T17:26:46.339339,RELIANCE,SELL,-1,2419.6,20.0,0.0,499881.85,499881.85
2025-09-20T17:26:46.341349,RELIANCE,TRADE_CLOSED,0,2420.62,40.0,-41.01999999999998,499881.85,499881.85
2025-09-20T17:26:46.346340,RELIANCE,BUY,1,2420.92,20.0,0.0,499864.94,497440.93
2025-09-20T17:26:46.353688,RELIANCE,SELL,-1,2431.68,20.0,0.0,499852.61,499852.61
2025-09-20T17:26:46.355687,RELIANCE,TRADE_CLOSED,0,2420.92,40.0,-29.240000000000236,499852.61,499852.61
